Unnamed: 0,안흥지 애련정,소래역사관,KT&G상상마당 홍대,명동난타극장,백운계곡관광지
인천화교역사관,0.8589100494347293,0.8802186582451996,0.7420417562600945,0.8605841349809964,0.8735688091361562
인천아트플랫폼,0.9479411567139115,0.9899852543622512,0.9991166077738516,0.9966976883818672,0.9651611216419376
평화문화진지,0.9673540673070464,0.9958835094617842,0.992756183745583,0.9957970579405584,0.9834629714360416
경희궁,0.9678229461675664,0.98856103901948,0.8847455717989977,0.9778864582583746,0.9812952845879536
서울특별시 중부공원녹지사업소 서울창포원,0.7987109609309836,0.8525509963228186,0.7715160784307276,0.8371657478636361,0.8100919654884964
포천아트밸리,0.8767416130917605,0.9394611469363532,0.90622843435305,0.9149687746592654,0.9211909782512202
아침고요수목원,0.7915280853812598,0.8011551047251109,0.7036542364652413,0.7907068041227955,0.8168127650258845
하남역사박물관,0.9787734264794788,0.9990169574834112,0.9902826855123674,0.9963374362053438,0.9882345251323617
하남유니온타워,0.958377996570876,0.9886531806503356,0.8582647872504765,0.965172748222636,0.964525621825142
선법사,0.9782610340575152,0.9833604835116496,0.8844710756296692,0.9720579521251024,0.9752667159308972
광주향교,0.9836098609525088,0.9984025559105432,0.9895170789163722,0.9972380666466526,0.9924178050852998
미사경정공원 조정카누경기장,0.9844159333646804,0.9982182354386826,0.988339222614841,0.9964575202641848,0.993332897575005
문화역서울284,0.9286101170845352,0.9691764182269894,0.9384338260098032,0.9474268862754426,0.9512743588743412
예스파크,0.9122863840892256,0.9621941725781396,0.860159240195645,0.9665499148489528,0.9154131501910214
용문산자연휴양림,0.984751796869752,0.9990169574834112,0.9875147232037692,0.9963974782347644,0.9932675338257404
쉬자파크,0.9534709590890296,0.9365688981998052,0.8075670550864738,0.9469096846164862,0.9492086100044236
봉은사,0.9840128971585947,0.997849594494962,0.9861601884570084,0.9948363854698288,0.995424537551474
산정랜드,0.9709464767647318,0.9801304720531564,0.8777222009532782,0.9484859559916538,0.9797919287808154
전통술박물관산사원 본원,0.9555944872115236,0.9711315696781244,0.8375992621161361,0.9734269942931078,0.9837288366095048
현대모터스튜디오 고양,0.8811620139866272,0.8680116487859084,0.7065001513955877,0.8796569887012966,0.8780213392206488
인천문화예술회관,0.8683392952106707,0.834456116496343,0.6390832198723123,0.8377791444661628,0.8533787817592824
화홍문화예술센터,0.96236298371824,0.99055129514512,0.8674648723171147,0.9838280158897624,0.9816845061140406
리움미술관,0.9633908779472022,0.9953305480462028,0.9980565371024736,0.999399579705794,0.9782992352441336
파랑씨어터,0.751412703804767,0.7972690008229149,0.6893232185454592,0.8235699048719699,0.7620024671131512
우정총국시민광장,0.9732547708218132,0.9836479722217806,0.8448034441159752,0.9760510616961308,0.9793392479788048
운현궁,0.9906629945590112,0.998095355124109,0.9829210836277974,0.9932152506754728,0.9936597163213284
남양성모성지,0.8471526480482159,0.9178402675231084,0.8543872405799937,0.9205728588250756,0.8650910669107099
양화한강공원,0.813565816156911,0.8509618190880769,0.8340478430617849,0.8854515688979819,0.8401963404974802
어둠속의대화,0.9474696997738272,0.9846134298422368,0.9296341922103027,0.9567051009476282,0.9807752938595417
정약용유적지,0.8195118910193635,0.7802893060537959,0.7138491461192904,0.7889761032661216,0.7893586036835184
프렌즈스크린 덕소점,0.9734667830993484,0.9979110346522486,0.9932273262661956,0.998799159411588,0.9865350676514806
물의정원,0.8978928196832745,0.9457388742337408,0.8644312857988197,0.921117456626296,0.9401211235313974
한강뮤지엄,0.800480743018648,0.8444271464109956,0.9114942011172158,0.8246740693416039,0.836312042007177
미호박물관,0.8842169990464956,0.9140770160278746,0.7694899373678715,0.9625921377266562,0.904120419126484
가회동백인제가옥,0.9390880493189544,0.9381794309590868,0.8233524472832888,0.9448570035190254,0.9473589111239008
율동공원,0.9098303443216744,0.9316864770604518,0.8052689262646603,0.9233726014456908,0.8926198676215873
서울역사박물관,0.86227825154972,0.9214608987198544,0.9679421453652596,0.8876950205429426,0.9265971942131036
평촌중앙공원,0.8765811517080869,0.874972073783359,0.8110645227571076,0.9013101167118224,0.8549031423782325
서울대공원,0.7859416508351307,0.8291130244128593,0.695610525152845,0.8516180333733869,0.7503653495783149
과천향교,0.9887149862295964,0.9970508724502334,0.9823321554770318,0.9917742419693784,0.993136806327211
망원한강공원,0.7632938351813268,0.7766620979632578,0.7464503457425629,0.7533389349118923,0.7829178625114266
동구릉,0.949366478132148,0.907253620504062,0.7635374075948909,0.8882472986407448,0.9430647685804936
블루스퀘어,0.877492422603395,0.9652156552621612,0.8997600116072235,0.9399892747280024,0.9438609670237244
청수장계곡,0.9892523678377108,0.9964364708773654,0.980270906949352,0.9910537376163314,0.998104451271325
청계사,0.8787457757738442,0.8882828509860304,0.7119466230833792,0.8606606356700794,0.8874790719926788
아쿠아플라넷 광교,0.9356502925428538,0.9575004192963597,0.8101435180825547,0.9633867708217696,0.9612096383366202
서울명예도로 감고당길,0.990394303754954,0.9950233472597688,0.9745583038869258,0.9862503752626838,0.9911758938492712
서울어린이대공원 식물원,0.9491119186272796,0.9850786342228236,0.9029377015038262,0.9698695672812948,0.954367439049694
남산케이블카,0.8141396902494813,0.8093069986857127,0.6812418947846585,0.7953275419784499,0.8236266717626852
목동종합운동장 목동아이스링크,0.9735306467300506,0.9904503285073176,0.9200152026117075,0.9831828370478876,0.9728580089456866
예술의전당,0.918806133358971,0.9212305027812971,0.7915225016061365,0.9472700632557244,0.9523709150054678
북악팔각정,0.938194297240935,0.8820904093495907,0.7354657288775741,0.9087214024233896,0.9084588163478546
마이아트뮤지엄,0.7261820054425221,0.7786067065389122,0.8921594082454327,0.7561280330732694,0.7336501589234349
오이도선사유적공원,0.7998416752487952,0.8015193517704328,0.7591597962951464,0.8140234535283297,0.8573889006014772
국회의사당,0.8125891875571283,0.8042929745527483,0.724711238103384,0.8063877242581057,0.7584274926268384
수원시립미술관,0.9141586617771637,0.975199894779622,0.8864281531643597,0.9553228326303292,0.933238384679649
아쿠아플라넷63,0.9752132733257204,0.9986483165396902,0.9941696113074204,0.9987391173821676,0.9882998888816262
아침고요수목원입구,0.8611239636717425,0.8823100112441628,0.7579895988695431,0.8565193518952428,0.8504569477953831
쁘띠프랑스,0.8119524197337749,0.8134849851964385,0.6908083448370678,0.7761699366480403,0.8148616147114756
선유도공원,0.8095617341048897,0.7658902374287806,0.5397136121835822,0.7934044543190919,0.8208053161441038
아트포레스트,0.945388594075368,0.9861145244531826,0.9967020023557126,0.9906334434103872,0.9588208379632656
양재시민의숲,0.8198103741536563,0.8794046273251039,0.9561150761357377,0.8402747720177987,0.8627887185060232
레솔레파크,0.996656583820074,0.9770146740454224,0.8395129701950131,0.9561555896072692,0.9889042811420802
신북리조트 스프링폴,0.89085086845231,0.9420809460645592,0.9622309541403644,0.91512095865647,0.9236226779291752
허브아일랜드 불빛동화축제,0.8907097408824647,0.8925200109358147,0.7404398518146293,0.9003070792316359,0.8910545434492247
서울 선릉과 정릉,0.9882876490384052,0.9855702112963411,0.8407944971781753,0.9764041548492144,0.9861663331150742
연인산도립공원,0.9888493316316248,0.9966822315065128,0.9822732626619552,0.9926748724106874,0.9965357212889732
인사센트럴뮤지엄,0.958579311422833,0.970626903934782,0.8626619826557815,0.9849502768654383,0.9617207982862744
마로니에공원,0.8874479496255092,0.9294131540306914,0.9477415088595548,0.9134818322275916,0.8971338482491732
안산화랑공원,0.9044883388183907,0.9495943138725164,0.8788284579019519,0.918178000465938,0.9190525987456222
